biomarker_name,mdbid,condition_id,condition_name
"1,3-Diaminopropane",MDB00000002,1,Normal
"1,3-Diaminopropane",MDB00000002,207,Leukemia
1-Methylhistidine,MDB00000001,1,Normal
1-Methylhistidine,MDB00000001,33,Alzheimer's Disease
1-Methylhistidine,MDB00000001,34,Pregnancy
1-Methylhistidine,MDB00000001,83,Chronic Kidney Disease
1-Methylhistidine,MDB00000001,203,Kidney Disease
1-Methylhistidine,MDB00000001,251,Obesity
1-Methylhistidine,MDB00000001,5988,Preeclampsia/Eclampsia
Tetrahydrodeoxycortisol,MDB00000477,2,11 Beta Hydroxylase Deficiency
Androstenedione,MDB00000026,2,11 Beta Hydroxylase Deficiency
Androstenedione,MDB00000026,4,Congenital Adrenal Hyperplasia
Androstenedione,MDB00000026,269,Polycystic Ovary Syndrome
Androstenedione,MDB00000026,295,Rheumatoid Arthritis
Androstenedione,MDB00000026,1085,Lipoid Congenital Adrenal Hyperplasia
Androstenedione,MDB00000026,4299,"Congenital Adrenal Insufficiency with 46,XY Sex Reversal"
Fructosamine,MDB00000368,2,11 Beta Hydroxylase Deficiency
Fructosamine,MDB00000368,83,Chronic Kidney Disease
Fructosamine,MDB00000368,85,Cirrhosis
Fructosamine,MDB00000368,115,Diabetes Mellitus Type 2
Fructosamine,MDB00000368,203,Kidney Disease
DHEA sulfate,MDB00000294,2,11 Beta Hydroxylase Deficiency
DHEA sulfate,MDB00000294,33,Alzheimer's Disease
DHEA sulfate,MDB00000294,269,Polycystic Ovary Syndrome
DHEA sulfate,MDB00000294,2005,X-Linked Ichthyosis
Testosterone,MDB00000113,2,11 Beta Hydroxylase Deficiency
Testosterone,MDB00000113,3,21 Hydroxylase Deficiency
Testosterone,MDB00000113,66,Cadmium Exposure
Testosterone,MDB00000113,2005,X-Linked Ichthyosis
Testosterone,MDB00000113,4185,Aromatase Deficiency
Cortexolone,MDB00013414,2,11 Beta Hydroxylase Deficiency
Pregnanetriol,MDB00029963,2,11 Beta Hydroxylase Deficiency
D-Glucose,MDB00000057,3,21 Hydroxylase Deficiency
D-Glucose,MDB00000057,11,Acute Myelogenous Leukemia
D-Glucose,MDB00000057,115,Diabetes Mellitus Type 2
D-Glucose,MDB00000057,290,Fanconi Syndrome
D-Glucose,MDB00000057,303,Sepsis
D-Glucose,MDB00000057,1297,"Fructose 1,6 Bisphosphatase Deficiency"
D-Glucose,MDB00000057,1506,Carnitine Palmitoyltransferase I Deficiency
D-Glucose,MDB00000057,1523,Familial Hyperinsulinemic Hypoglycemia
D-Glucose,MDB00000057,2270,Acute Myeloid Leukemia
D-Glucose,MDB00000057,4281,3 Hydroxyacyl Co A Dehydrogenase Deficiency
D-Glucose,MDB00000057,4299,"Congenital Adrenal Insufficiency with 46,XY Sex Reversal"
D-Glucose,MDB00000057,5904,Lipodystrophy
Potassium,MDB00000194,3,21 Hydroxylase Deficiency
Potassium,MDB00000194,930,Type I Autosonal Dominant Pseudyhopoaldosteronism
Potassium,MDB00000194,1085,Lipoid Congenital Adrenal Hyperplasia
Potassium,MDB00000194,2353,Type 4A Bartter Syndrome
Potassium,MDB00000194,4011,Type 4B Bartter Syndrome
Potassium,MDB00000194,4299,"Congenital Adrenal Insufficiency with 46,XY Sex Reversal"
Dehydroepiandrosterone,MDB00000041,3,21 Hydroxylase Deficiency
Dehydroepiandrosterone,MDB00000041,1085,Lipoid Congenital Adrenal Hyperplasia
Dehydroepiandrosterone,MDB00000041,1086,Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis
Creatinine,MDB00000188,3,21 Hydroxylase Deficiency
Creatinine,MDB00000188,34,Pregnancy
Creatinine,MDB00000188,67,Canavan Disease
Creatinine,MDB00000188,83,Chronic Kidney Disease
Creatinine,MDB00000188,84,Chronic Renal Failure
Creatinine,MDB00000188,206,Lesch Nyhan Syndrome
Creatinine,MDB00000188,303,Sepsis
Creatinine,MDB00000188,330,Uremia
Creatinine,MDB00000188,557,Lewy Body Dementia
Creatinine,MDB00000188,930,Type I Autosonal Dominant Pseudyhopoaldosteronism
Creatinine,MDB00000188,1157,Brown Vialetto Van Laere Syndrome
Creatinine,MDB00000188,1377,Antenatal Bartter Syndrome Type 2
Creatinine,MDB00000188,2353,Type 4A Bartter Syndrome
Hydrogen carbonate,MDB00013430,3,21 Hydroxylase Deficiency
Hydrogen carbonate,MDB00013430,290,Fanconi Syndrome
